time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-4.786764093162151e-08,-3.2232019963031095e-08,10.00710871918402,6.283147735061021,4.843094505613266e-05,0.0,-4.614372386711317e-06,-3.334619637203023e-06,0.23693751022997545,-0.0019090944449106043,0.0023746972007097186,0.0,478.91955717339675,479.1000928217565,477.82515828176264,477.6796380725072
0.12000000000000001,-1.7013803713141099e-06,-1.0447569374317218e-06,10.02298864733058,0.00016540477685733634,6.497134029004314e-05,0.0,-5.844180325189671e-05,-2.4595132290240432e-05,0.29238038990851517,0.012287966685937903,-0.0042932375201331086,0.0,423.179627681776,422.6053654761158,421.6871018322032,422.91146346780397
0.18,-5.4543292165684876e-06,2.2990751789484805e-06,10.038898801336785,0.0008682729863584981,6.282936104110863,0.0,-4.4086824480824485e-05,0.00019306797180171736,0.23797167348476042,0.010542100951212083,-0.007192357244997249,0.0,385.3611495519385,385.08714185800625,384.6499468716328,384.4845042392931
0.23999999999999996,1.1308311007884729e-07,3.930462067391225e-05,10.060201441707328,0.0021870038931552926,6.282375283761475,0.0,0.00028963497218208704,0.0011671522566529834,0.47204838150085426,0.03838885562419841,-0.014048029422445733,0.0,477.28997665065333,476.7666790862077,477.18666200791426,479.3073113354252
0.3,4.3414061950041696e-05,0.00017987717142505162,10.09776629900533,0.004012826585631402,6.281591380166677,0.0,0.00126149821878409,0.0038043111074097047,0.779953941305236,0.005505769756527492,-0.011168260887914927,0.0,498.8242800106779,499.0346366748933,499.8724054194953,497.4709188562343
0.36000000000000004,0.0001609195172974592,0.0005090411269839263,10.151635983632852,0.004482009382293484,6.28138776422524,0.0,0.0027043132996101174,0.007216326332485391,1.0155225247420652,0.012086809267050549,0.008825270433787162,0.0,478.15287589455886,479.673461297722,478.0973943283072,478.59836426334994
0.4200000000000001,0.0003643053342158015,0.001054379940973641,10.219265278481087,0.005106537047971038,6.28142700145324,0.0,0.004028840108466304,0.011042047101265929,1.2385722128467265,0.006821738876776836,-0.02551917315422429,0.0,475.7944411674711,473.1580666207129,476.49028493726826,476.0875291218404
0.48000000000000015,0.0006606885493141551,0.001857282296691127,10.302663404838254,0.006457823396917917,6.2798333594770845,0.0,0.006055918907810214,0.015850025592248684,1.5410069519443403,0.04300747430686676,-0.028729337337884714,0.0,499.1083754292318,498.87398655974147,496.68162803075455,499.3281606151643
0.5400000000000001,0.0011138106419508829,0.0029783964765489547,10.401976438650234,0.00915297078882027,6.278294168533735,0.0,0.009243538155805427,0.02183751418876313,1.7690999000721317,0.048490763069644366,-0.020119395954886477,0.0,477.2775730935877,477.93410690976407,478.3616101318423,478.7799384878459
0.6000000000000002,0.0017833220707981002,0.004507250961274227,10.512921006801664,0.012728407529022157,6.276734523923544,0.0,0.01322125772844496,0.029487940526720206,1.9287920438555628,0.07564027171848048,-0.04157889760225027,0.0,458.9789303007087,457.2725625411997,457.72335892864487,459.88097780976324
0.6600000000000003,0.002730625593978186,0.006579492216577852,10.633278098112399,0.01769551403199543,6.2742960159020456,0.0,0.01862491416840668,0.040108969883334906,2.0828334009285796,0.09419724531902914,-0.03883102085290338,0.0,457.0050834141863,457.22323165794654,456.7563078266274,458.2390003128714
0.7200000000000003,0.004023746027615018,0.009340119217863629,10.75944506369548,0.023922712729859796,6.272138944577016,0.0,0.024686783464708564,0.05246786756072439,2.12264538364509,0.11816513931850126,-0.0307385196601046,0.0,421.13530606842517,421.83399938195976,420.94888012905096,423.02745841574483
0.7800000000000004,0.005727662206437995,0.012982491063020067,10.888710610004972,0.031438171540389526,6.270481144572649,0.0,0.03227761515706113,0.06964945891202765,2.186065298885065,0.13659855431540086,-0.022043852521560426,0.0,429.3544565713232,430.0912208466612,428.8077396154235,430.3853448575303
0.8400000000000004,0.007929114975659006,0.017835296950792258,11.022655417903875,0.03923007729831429,6.269189426211405,0.0,0.041233699487872456,0.0929166263540429,2.278550676700494,0.11092218329983237,-0.020517724027277175,0.0,438.56062743525257,438.68735196926275,441.0220338012592,438.91147475989385
0.9000000000000005,0.010690877379687647,0.024228308508330822,11.161917276637512,0.04553775575155594,6.267664016479348,0.0,0.050957660390511875,0.1208267116934103,2.3633083694997303,0.0898515085132533,-0.03769112365700809,0.0,438.5154234730748,437.08640033872285,437.66587108821705,435.91836522426746
0.9600000000000005,0.014062052097835237,0.03239340665516236,11.30571182887192,0.05043395160208153,6.2652657047124,0.0,0.06163838212539942,0.15184513440976732,2.429673257515836,0.0549975471838111,-0.04497405311907043,0.0,431.209382263283,430.59284050788125,434.2375491323671,431.30911314921167
1.0200000000000005,0.01824884984680325,0.04285892818633136,11.460330610883819,0.05442664564663069,6.26273881834881,0.0,0.07825047413780908,0.19745626673106476,2.723596982643849,0.08306562215656013,-0.036936097015921196,0.0,500.06259272610964,500.64698956009494,499.2276512979723,501.2739881301103
1.0800000000000005,0.02351448445612165,0.05622041283169974,11.63341724836749,0.05947954047173898,6.260750155014012,0.0,0.09753621437620155,0.24855728090364987,3.0451069673431634,0.08641837437312096,-0.026474395833537487,0.0,509.4941187300796,510.2412259791562,508.6003793025444,508.845264406343
1.1400000000000006,0.029986740815455864,0.07278237378127035,11.825690449752761,0.06539163986237018,6.258862384157775,0.0,0.11841547945554622,0.3042073504438478,3.363058164346012,0.11563842511808255,-0.04399596491547311,0.0,509.96728851730893,508.7139333029258,509.55313828563754,511.6443538600381
